method,horizon_h,accuracy,accuracy_ci_low,accuracy_ci_high,f1,f1_ci_low,f1_ci_high
Baseline,6,0.790,0.772,0.808,0.754,0.735,0.773
Baseline,12,0.774,0.754,0.794,0.738,0.717,0.759
Baseline,24,0.752,0.729,0.775,0.714,0.690,0.738
Baseline,48,0.730,0.704,0.756,0.690,0.663,0.717
Prompt-only,6,0.805,0.788,0.822,0.769,0.751,0.787
Prompt-only,12,0.786,0.768,0.804,0.750,0.731,0.769
Prompt-only,24,0.758,0.738,0.778,0.719,0.698,0.740
Prompt-only,48,0.724,0.701,0.747,0.684,0.660,0.708
Audit-only,6,0.821,0.806,0.836,0.786,0.770,0.802
Audit-only,12,0.807,0.791,0.823,0.770,0.753,0.787
Audit-only,24,0.790,0.772,0.808,0.752,0.733,0.771
Audit-only,48,0.765,0.744,0.786,0.726,0.704,0.748
PaperForge,6,0.850,0.837,0.863,0.817,0.803,0.831
PaperForge,12,0.840,0.826,0.854,0.805,0.790,0.820
PaperForge,24,0.826,0.811,0.841,0.790,0.774,0.806
PaperForge,48,0.804,0.786,0.822,0.765,0.746,0.784
